batch_id,proposal_count,entropy_domain_count,accepted_count,accepted_fraction,minimum_accepted_margin
346,262144,262144,55,0.000209808349609375,0.00046676463282424585
347,262144,262144,62,0.00023651123046875,9.774631787218269e-05
348,262144,262144,59,0.000225067138671875,0.0011098542754528484
349,262144,262144,66,0.00025177001953125,0.00042409180331426377
350,262144,262144,53,0.000202178955078125,0.0005169261485893362
351,262144,262144,62,0.00023651123046875,4.705613151179122e-05
352,262144,262144,59,0.000225067138671875,0.0007662594421573576
353,262144,262144,46,0.00017547607421875,0.00012754241060042304
354,262144,262144,51,0.000194549560546875,0.0012123894393780699
355,262144,262144,54,0.00020599365234375,0.0003508103566454146
356,262144,262144,54,0.00020599365234375,0.0003800135305733754
357,262144,262144,52,0.0001983642578125,0.0002005264162898701
358,262144,262144,34,0.00012969970703125,8.814954749247761e-05
359,262144,262144,61,0.000232696533203125,0.00024684895760507253
360,262144,262144,64,0.000244140625,0.0005506353635271743
361,262144,262144,60,0.0002288818359375,0.00016878326148184186
362,262144,262144,52,0.0001983642578125,0.00027957089225250087
363,262144,262144,59,0.000225067138671875,0.00036963477333573636
364,262144,262144,46,0.00017547607421875,0.0002505514200636938
